PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE
Single Family Residential,1811 Fallbrooke Dr,Hastings,55033,634900,5,5,Heritage Ridge,3352,8668.0,2021,39,36.0,6149246,44.7243295,-92.8932116
Townhouse,7605 Cody Ln E,Inver Grove Heights,55076,385650,3,3,South Grove,1932,26264.151515151516,2022,40,208.0,6148648,44.838845,-93.034345
Single Family Residential,3564 76th Ln E,Inver Grove Heights,55076,448695,2,2,South Grove,1734,6534.0,2022,40,0.0,6148500,44.838845,-93.034345
Single Family Residential,19715 Java Path,Lakeville,55044,435000,4,2,Lakeville,2012,7753.0,1972,40,0.0,6148705,44.663944,-93.2744539
Single Family Residential,13997 Ashford Path,Rosemount,55068,590000,5,4,Rosemount,2871,11064.0,2017,40,0.0,6148674,44.7477781,-93.0866213
Single Family Residential,14909 Oak Ridge Ct W,Burnsville,55306,515000,3,4,Burnsville,2994,10846.0,1995,40,0.0,6148662,44.7333493,-93.2918872
Single Family Residential,16978 Galleon Cir,Lakeville,55068,579495,4,3,Lakeville,2214,13068.0,2022,41,0.0,6147113,44.7034032,-93.2059602
Single Family Residential,17829 Embers Ave,Lakeville,55044,499900,5,3,Pheasant Run 7th,2528,8712.0,2022,41,0.0,6148253,44.69245124,-93.17182457
Single Family Residential,4009 Haven Woods Ct,Eagan,55123,1600000,4,3,Wood Haven,3730,15246.0,2022,42,0.0,6146687,44.81250837,-93.11526319
Single Family Residential,13642 Applewood Trl,Rosemount,55068,460110,3,2,Caramore Crossing,1749,7405.0,2021,43,165.0,6147653,44.75406746,-93.08902913
Single Family Residential,18750 Hancock Ave,Lakeville,55044,493200,4,4,The Grove at Avonlea,1870,8712.0,2021,43,64.0,6147643,44.67862338,-93.2307412
Single Family Residential,13401 Ardroe Ave,Rosemount,55068,514274,2,2,Caramore Crossing,1749,12632.0,2021,44,165.0,6147208,44.7618419,-93.0888872
Condo/Co-op,7070 153rd St W #313,Apple Valley,55124,62705,1,2,Apple Valley,1069,26264.151515151516,2018,46,1875.0,6146840,44.7267837,-93.208992
Single Family Residential,19814 Hamburg Ave,Lakeville,55044,639900,3,3,Berres Ridge,2438,11325.0,2022,46,0.0,6146844,44.6870702,-93.2270188
Townhouse,1591 Four Oaks Rd,Eagan,55121,290000,2,2,Eagan,1515,1742.0,1982,46,255.0,6146465,44.843221,-93.179812
Single Family Residential,1301 Orchard Dr,Burnsville,55306,361000,3,2,Burnsville,1805,15986.0,1963,47,0.0,6146551,44.7294462,-93.2958779
Single Family Residential,13634 Applewood Trl,Rosemount,55068,493575,3,2,Rosemount,1866,9583.0,2021,47,165.0,6146487,44.75456254,-93.08845689
Condo/Co-op,12812 Nicollet Ave #302,Burnsville,55337,115000,2,1,Burnsville,950,26264.151515151516,1970,47,450.0,6134997,44.7690896,-93.280206
Townhouse,13582 Bronze Pkwy,Rosemount,55068,275000,2,2,Rosemount,1082,784.0,2010,47,210.0,6146391,44.7531169,-93.120917
Single Family Residential,18397 Everest Path,Farmington,55024,475000,4,3,Farmington,2574,12850.0,1998,47,0.0,6146378,44.6820733,-93.1865763
Single Family Residential,19852 Iberis Ave,Lakeville,55044,561000,4,3,Lakeville,2727,9801.0,2013,47,0.0,6146353,44.6623356,-93.2492092
Single Family Residential,7830 Adler Trl,Inver Grove Heights,55076,547000,4,4,Inver Grove Heights,2405,26264.151515151516,2022,47,66.0,6146265,44.83543063,-93.0767363
Single Family Residential,17862 Hamburg Ave,Lakeville,55044,495000,2,2,Lakeville,1592,26264.151515151516,2022,48,160.0,6146109,44.6920259,-93.2256462
Single Family Residential,19231 Colonial Trl,Farmington,55024,549490,3,3,North Creek,2938,8276.0,2021,48,166.0,6146113,44.67108381,-93.14026057
Townhouse,5048 217th St W,Farmington,55024,470000,2,2,Vita Attiva at South Creek,1481,6534.0,2022,50,269.0,6145205,44.63657854,-93.16887358
Townhouse,5016 217th St W,Farmington,55024,535000,3,3,Vita Attiva At South Creek,1830,6534.0,2022,50,269.0,6145276,44.63662946,-93.16949392
Townhouse,5032 217th St W,Farmington,55024,510000,2,2,Vita Attiva at South Creek,1503,6534.0,2022,50,269.0,6145228,44.63654018,-93.16877151
Townhouse,4908 Steeplechase Ct #38,Eagan,55122,617000,4,4,Eagan,4050,26264.151515151516,2006,50,442.0,6145450,44.78019,-93.16994
Single Family Residential,19146 Cottage Rd,Farmington,55024,476925,3,2,North Creek,1890,6534.0,2022,50,166.0,6143392,44.672977,-93.140881
Condo/Co-op,221 Grand Ave W #109,South Saint Paul,55075,119000,2,1,South Saint Paul,910,26264.151515151516,1986,50,344.0,6145359,44.8923073,-93.0365745
Single Family Residential,5846 178th St W,Lakeville,55024,589900,3,3,Lakeville,2100,8407.0,2022,50,0.0,6145056,44.6912872,-93.1881513
Single Family Residential,18237 Glacier Way,Lakeville,55044,788619,5,5,Glacier Creek,3921,10018.0,2021,51,0.0,6144947,44.68528345,-93.21051008
Single Family Residential,7387 Degrio Way,Inver Grove Heights,55076,369940,2,1,Ruby Meadows,1106,2265.0,2022,52,0.0,6138726,44.842167,-93.023013
Single Family Residential,19808 Hamburg Ave,Lakeville,55044,711446,5,4,Berres Ridge,3716,12196.0,2022,52,0.0,6144801,44.6870702,-93.2270188
Multi-Family (2-4 Unit),1020 5th Ave S Unit B,South Saint Paul,55075,379900,4,3,South Saint Paul,2184,9888.0,2021,53,0.0,6144540,44.873747,-93.040261
Multi-Family (2-4 Unit),1020 5th Ave S Unit A,South Saint Paul,55075,379900,4,3,South Saint Paul,2184,9888.0,2021,53,0.0,6144352,44.873747,-93.040261
Single Family Residential,8680 Hunters Way,Apple Valley,55124,536000,4,3,Apple Valley,3575,22215.0,1981,54,0.0,6144113,44.7592855,-93.239547
Single Family Residential,311 Timberland Dr,Burnsville,55337,396000,3,3,Burnsville,1400,22172.0,1958,54,0.0,6144021,44.7611889,-93.28316
Condo/Co-op,12444 Pilot Knob Rd #314,Apple Valley,55124,299320,2,2,Apple Valley,1641,26264.151515151516,2020,55,818.0,6143897,44.768847,-93.165075
Townhouse,7613 Cody Ln,Inver Grove Heights,55076,398950,3,3,South Grove,2082,26264.151515151516,2021,55,208.0,6143731,44.838845,-93.034345
Townhouse,18642 Kalmar Path,Lakeville,55044,319995,2,2,Lakeville,1493,2874.0,2000,57,353.0,6142932,44.6796642,-93.2860492
Single Family Residential,17741 Everest Ave,Lakeville,55044,429900,2,2,Knob Hill Association,1500,2787.0,2021,59,145.0,6142738,44.69176352,-93.17999149
Single Family Residential,17904 Evening Ln,Lakeville,55024,599900,5,4,Knob Hill,2960,13068.0,2019,59,0.0,6142726,44.6904048,-93.181457
Single Family Residential,14209 Addison Ave,Rosemount,55068,586808,5,4,Emerald Isle,2929,9147.0,2021,59,0.0,6142720,44.7455154,-93.0781303
Single Family Residential,19342 Clearwater Loop,Farmington,55024,464490,3,3,North Creek,1982,8276.0,2021,62,35.0,6141671,44.6696426,-93.13837647
Single Family Residential,17866 Hamburg Ave,Lakeville,55044,537000,3,3,Lakeville,2432,4486.0,2022,63,160.0,6141309,44.6920758,-93.2258229
Single Family Residential,7805 Ava Trl,Inver Grove Heights,55077,537000,4,3,Inver Grove Heights,2365,26264.151515151516,2022,63,66.0,6141223,44.83515674,-93.07691869
Single Family Residential,8140 198th St W,Lakeville,55044,838068,4,3,Lakeville,3620,13939.0,2022,64,0.0,6140496,44.6628851,-93.2595017
Single Family Residential,8122 198th St W,Lakeville,55044,737306,4,3,Lakeville,2900,17424.0,2022,64,0.0,6140495,44.6628851,-93.2595017
Multi-Family (2-4 Unit),3871 Gold Pt Unit B,Eagan,55122,239000,2,1,Eagan,1572,26264.151515151516,1898,66,275.0,6140558,44.816667,-93.205325
Townhouse,16102 Duvane Way,Lakeville,55044,488805,3,2,Spirit of Brandtjen Farms,1714,2613.0,2021,68,272.0,6138934,44.7160991,-93.1663519
Townhouse,5001 162nd St W,Lakeville,55044,527400,3,3,Spirit of Brandtjen Farm,2025,1306.0,2022,68,492.0,6138927,44.7149817,-93.1667219
Townhouse,4995 162nd St W,Lakeville,55044,562650,2,3,Spirit of Brandtjen Farm,2045,1524.0,2022,68,492.0,6138925,44.7149855,-93.1666307
Condo/Co-op,500 Greenhaven Dr #223,Burnsville,55306,219999,1,1,Burnsville,1200,1200.0,2004,68,447.0,6139736,44.7288849,-93.2854792
Single Family Residential,8286 183rd St W,Lakeville,55044,474615,2,2,Pinnacle Reserve,1749,8712.0,2021,69,170.0,6139692,44.6826011,-93.2313713
Single Family Residential,17942 Gresford Ln,Lakeville,55044,649900,4,3,Summers Creek,3136,4486.0,2021,71,160.0,6139020,44.6905616,-93.2262548
Single Family Residential,13650 Applewood Trl,Rosemount,55068,444975,2,2,Caramore Crossing,1485,7405.0,2021,72,165.0,6138676,44.75441892,-93.09089596
Single Family Residential,13566 Birdsong Path,Rosemount,55068,769000,5,4,Rosemount,3640,8712.0,2022,72,0.0,6138645,44.7523371,-93.1106628
Townhouse,7637 Cody Ln E,Inver Grove Heights,55076,461827,3,3,South Grove,2336,26264.151515151516,2021,76,208.0,6138092,44.83924896,-93.03390637
Single Family Residential,1766 Brandlewood Ct,Hastings,55033,550000,5,3,Hastings,2662,15681.0,2022,77,0.0,6137693,44.72112178,-92.89259595
Single Family Residential,17928 Greenwich Way,Lakeville,55044,574900,4,3,Summers Creek,2766,4486.0,2021,78,160.0,6137539,44.6909037,-93.2261221
Single Family Residential,11760 Azure Ln,Inver Grove Heights,55077,1050000,5,4,AMBERWOOD,4057,13939.0,2022,79,21.0,6137433,44.7781911,-93.1036164
Condo/Co-op,12820 Nicollet Ave #101,Burnsville,55337,112000,2,1,Burnsville,900,26264.151515151516,1970,82,450.0,6137328,44.7690896,-93.280206
Single Family Residential,22426 Cambrian Ct,Farmington,55024,403900,2,1,Farmington,1027,10018.0,2021,91,0.0,6135364,44.623567,-93.131271
Townhouse,17749 Everest Ave,Lakeville,55044,491900,3,2,Knob Hill Association,1765,2787.0,2021,93,145.0,6134794,44.69142813,-93.17979347
Townhouse,17745 Everest Ave,Lakeville,55044,482500,2,2,Knob Hill Association,1644,2787.0,2021,93,145.0,6134785,44.69142813,-93.17979347
Townhouse,17746 Everest Ave,Lakeville,55044,467900,2,2,Knob Hill Association,1500,2787.0,2021,93,145.0,6134781,44.69142813,-93.17979347
Condo/Co-op,600 Greenhaven Dr #107,Burnsville,55306,255000,2,2,Burnsville,1269,26264.151515151516,2002,95,794.0,6129931,44.7291506,-93.2864227
Single Family Residential,2809 213th St,Farmington,55024,459900,3,2,Sapphire Lakes,1432,7405.0,2021,95,0.0,6134468,44.6414187,-93.1270284
Single Family Residential,6182 S Robert Trl,Inver Grove Heights,55077,1800000,3,3,Inver Grove Heights,3524,683064.0,1959,98,0.0,6133486,44.858636,-93.083039
Single Family Residential,13621 Applewood Trl,Rosemount,55068,472470,3,2,Caramore Crossing,1801,8276.0,2021,101,165.0,6132920,44.75431328,-93.08871575
Single Family Residential,13627 Applewood Trl,Rosemount,55068,501180,3,2,Rosemount,1866,9583.0,2021,101,165.0,6132914,44.75431874,-93.09103181
Single Family Residential,10601 Amery Cir,Inver Grove Heights,55077,649000,4,3,Inver Grove Heights,3000,12632.0,1999,102,16.0,6132828,44.7958037,-93.1007369
Single Family Residential,2653 213th St W,Farmington,55024,489900,4,3,Farmington,2568,7840.0,2022,103,0.0,6132270,44.6410286,-93.1245093
Townhouse,7633 Cody Ln,Inver Grove Heights,55076,399185,3,3,South Grove,2082,26264.151515151516,2021,104,208.0,6131543,44.838845,-93.034345
Single Family Residential,19354 Clearwater Loop,Farmington,55024,512990,4,3,North Creek,2645,8276.0,2021,106,35.0,6131121,44.6706996,-93.1387624
Single Family Residential,19115 N Crystal Ter,Farmington,55024,431490,2,2,North Creek,1734,9147.0,2020,106,166.0,6131112,44.67170183,-93.14455748
Townhouse,1072 36th St W,Hastings,55033,519900,2,2,Riverwood 12th,1519,6054.0,2021,106,150.0,6126188,44.711238,-92.8694682
Townhouse,14141 Addison Ave,Rosemount,55068,351690,3,3,Highlands of Falmoor Glen,1769,2178.0,2021,112,225.0,6130351,44.7447167,-93.0814684
Townhouse,14151 Addison Ave,Rosemount,55068,371090,3,3,Highlands of Falmoor Glen,1792,2178.0,2021,112,225.0,6130353,44.7447148,-93.0813236
Single Family Residential,6344 Apple Ct,Inver Grove Heights,55077,739500,4,3,Enclave at Settler's Ridge,2609,8712.0,2022,113,70.0,6129581,44.8547,-93.0899
Single Family Residential,6332 Apple Ct,Inver Grove Heights,55077,792540,5,4,Enclave at Settler's Ridge,2976,8712.0,2022,113,70.0,6129586,44.8547,-93.0899
Single Family Residential,14205 Addison Ave,Rosemount,55068,699000,5,5,Emerald Isle,3925,12196.0,2021,113,0.0,6129629,44.7450196,-93.0804786
Single Family Residential,8480 208th St W,Lakeville,55044,446000,5,2,Lakeville,2730,14853.0,1982,115,0.0,6129353,44.6472261,-93.2370532
Single Family Residential,2293 136th St,Rosemount,55068,737700,4,4,Rosemount,2962,8712.0,2022,119,0.0,6127814,44.7518139,-93.1312279
Single Family Residential,2677 213th St,Farmington,55024,489900,3,2,Sapphire Lake,1699,10454.0,2021,125,0.0,6125957,44.6410286,-93.1245093
Single Family Residential,18543 Hexham Ln,Lakeville,55044,605000,3,3,Lakeville,2100,8712.0,2021,126,0.0,6125853,44.6617732,-93.2341118
Single Family Residential,781 Wentworth Ave,Mendota Heights,55118,2500000,4,4,Mendota Heights,5033,25264.0,2022,132,0.0,6123662,44.8986005,-93.125251
Single Family Residential,17984 Gresford Ln,Lakeville,55044,644900,5,3,Summers Creek,3611,4486.0,2022,134,160.0,6122844,44.6896154,-93.2257124
Single Family Residential,18215 Hideaway Trl,Lakeville,55044,487490,2,2,Pinnacle Reserve,1866,11325.0,2020,137,165.0,6118056,44.6843969,-93.2363267
Single Family Residential,7418 Agate Trl,Inver Grove Heights,55077,799000,5,4,Inver Grove Heights,3843,8712.0,2021,138,0.0,6121261,44.8516986,-93.0896198
Single Family Residential,1399 Dodd Rd,Mendota Heights,55118,525000,4,2,Mendota Heights,2869,17424.0,1940,138,0.0,6121216,44.9037527,-93.114269
Single Family Residential,7801 Ava Trl,Inver Grove Heights,55077,499900,3,3,Scenic Hills,1645,4791.0,2021,139,66.0,6120912,44.836249,-93.078177
Single Family Residential,7842 Adler Trl,Inver Grove Heights,55077,539900,2,2,Scenic Hills,1593,7840.0,2021,139,66.0,6120562,44.835064,-93.076199
Condo/Co-op,4130 Rahn Rd #122,Eagan,55122,124900,2,1,Eagan,900,26264.151515151516,1972,140,380.0,6120459,44.806893,-93.2057051
Single Family Residential,791 Wentworth Ave,Mendota Heights,55118,1995000,6,5,Mendota Heights,5697,22651.0,2021,140,0.0,6119869,44.8986018,-93.1253475
Single Family Residential,20268 Geneva Trl,Lakeville,55044,644860,4,4,Cedar Hills,3760,15246.0,2021,142,50.0,6119118,44.6559562,-93.21479022
Single Family Residential,15450 Lucerne Cir,Burnsville,55306,994900,5,5,Burnsville,3941,54667.0,2007,144,0.0,6118576,44.7237009,-93.296448
Single Family Residential,19133 N Cottage Rd,Farmington,55024,498990,3,3,North Creek,1012,9147.0,2021,145,166.0,6118191,44.6727774,-93.1424585
Condo/Co-op,4130 Rahn Rd #121,Eagan,55122,122500,2,1,Eagan,900,26264.151515151516,1972,146,380.0,6117708,44.806893,-93.2057051
Single Family Residential,187XX Kenwood Trl,Lakeville,55044,1390620,4,3,The Enclave of Lakeville,4500,32670.0,2022,147,0.0,6116890,44.692457,-93.2830594
Single Family Residential,4006 Haven Woods Ct,Eagan,55123,1588500,5,5,Haven Wood,4744,18556.0,2021,148,0.0,6115664,44.81264919,-93.11434319
Townhouse,20149 Geneva Trl,Lakeville,55044,552215,2,2,Cedar Hills,1697,4791.0,2021,148,130.0,6115398,44.6589,-93.2157
Single Family Residential,17826 Graphite Ln,Lakeville,55044,553665,2,2,Summers Creek,1694,4486.0,2021,150,160.0,6115272,44.6926651,-93.2237617
Townhouse,xxxx5 W 217th St W,Farmington,55024,510000,3,3,Vita Attiva at South Creek,1710,26264.151515151516,2022,151,269.0,6114955,44.64068093,-93.16973664
Single Family Residential,1436 Stickney Ave,South Saint Paul,55075,479900,3,3,South Saint Paul,2197,24219.0,2022,152,0.0,6114284,44.9140585,-93.0597622
Single Family Residential,2640 213th St,Farmington,55024,499900,3,3,Sapphire Lake,1699,7405.0,2021,169,0.0,6106198,44.6410169,-93.1245023
Single Family Residential,5721 Upper 179 W,Lakeville,55044,637900,5,4,Knob Hill,3316,8276.0,2021,169,0.0,6106066,44.6892368,-93.1813001
Single Family Residential,17916 Greenwich Way,Lakeville,55044,589900,3,2,Summers Creek,1945,4486.0,2021,171,160.0,6105403,44.6911656,-93.2262167
Condo/Co-op,4110 Rahn Rd #215,Eagan,55122,111888,1,1,Eagan,700,26264.151515151516,1971,172,308.0,6103633,44.808047,-93.2062545
Single Family Residential,17947 Gresford Ln,Lakeville,55044,649900,5,3,Summers Creek,3611,4486.0,2022,172,160.0,6105389,44.6900987,-93.2270793
Single Family Residential,7740 Alder Trl,Inver Grove Heights,55077,480000,2,2,Scenic Hills,1420,4704.0,2021,172,66.0,6105093,44.836945,-93.07568
Townhouse,12903 Penn Ave S,Burnsville,55337,355900,3,3,Burnsville Heights,1600,26264.151515151516,2021,173,255.0,6104400,44.769433,-93.310438
Single Family Residential,19063 Cloverleaf Way,Farmington,55024,429635,2,2,Avebury Place,1819,7013.0,2021,179,175.0,6102199,44.67328634,-93.13964514
Single Family Residential,9686 Carbon Ct,Inver Grove Heights,55076,599900,4,3,Pine Bend Estates,2316,8712.0,2021,183,79.0,6099224,44.80841016,-93.03707893
