SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,LATITUDE,LONGITUDE
MLS Listing,Townhouse,845 Wescott Sq,Eagan,MN,55123,349000,3,3,Eagan,1546,5445,1994,5,226,250,https://www.redfin.com/MN/Eagan/845-Wescott-Sq-55123/home/50718422,NORTHSTARMLS,6159156,44.8330868,-93.1297346
MLS Listing,Townhouse,18314 Gladden Ln,Lakeville,MN,55044,425000,4,4,Lakeville,2290,1785,2019,19,186,205,https://www.redfin.com/MN/Lakeville/18314-Gladden-Ln-55044/home/145319089,NORTHSTARMLS,6153258,44.6833647,-93.2201568
MLS Listing,Single Family Residential,17904 Greenwich Way,Lakeville,MN,55044,574900,4,3,Summers Creek,3194,4486,2022,1,180,160,https://www.redfin.com/MN/Lakeville/17904-Greenwich-Way-55044/home/172759912,NORTHSTARMLS,6164143,44.6913182,-93.2268148
MLS Listing,Single Family Residential,17908 Greenwich Way,Lakeville,MN,55044,679900,5,3,Summers Creek,3611,4486,2022,1,188,160,https://www.redfin.com/MN/Lakeville/17908-Greenwich-Way-55044/home/172759913,NORTHSTARMLS,6163589,44.6912686,-93.226611
MLS Listing,Townhouse,4837 Bisset Ln #8105,Inver Grove Heights,MN,55076,280000,2,2,Inver Grove Heights,1524,,2005,1,184,336,https://www.redfin.com/MN/Inver-Grove-Heights/4837-Bisset-Ln-55076/unit-8105/home/50671454,NORTHSTARMLS,6164131,44.878561,-93.055997
MLS Listing,Condo/Co-op,18500 Euclid St #102,Farmington,MN,55024,215000,2,2,Farmington,1107,,2000,1,194,369,https://www.redfin.com/MN/Farmington/18500-Euclid-St-55024/unit-102/home/50145743,NORTHSTARMLS,6164078,44.6822599,-93.1778875
MLS Listing,Single Family Residential,6720 134th St W,Apple Valley,MN,55124,399000,4,3,Apple Valley,2348,16552,1971,1,170,,https://www.redfin.com/MN/Apple-Valley/6720-134th-St-W-55124/home/50682833,NORTHSTARMLS,6162036,44.7555777,-93.2016433
MLS Listing,Condo/Co-op,150 E Burnsville Pkwy #115,Burnsville,MN,55337,239900,2,2,Burnsville,1568,,2004,1,153,527,https://www.redfin.com/MN/Burnsville/150-E-Burnsville-Pkwy-55337/unit-115/home/49895955,NORTHSTARMLS,6164022,44.773328,-93.275695
MLS Listing,Townhouse,15734 Fox Cir,Apple Valley,MN,55124,339000,3,3,Apple Valley,1913,1913,2003,1,177,254,https://www.redfin.com/MN/Apple-Valley/15734-Fox-Cir-55124/home/50665911,NORTHSTARMLS,6163635,44.7218369,-93.2031639
MLS Listing,Condo/Co-op,12940 Nicollet Ave #301,Burnsville,MN,55337,93400,1,1,Burnsville,675,,1970,1,138,378,https://www.redfin.com/MN/Burnsville/12940-Nicollet-Ave-55337/unit-301/home/50170370,NORTHSTARMLS,6157419,44.7689412,-93.2786783
MLS Listing,Townhouse,4828 Avery Ct,Eagan,MN,55123,420575,3,3,Avery Pines,1854,,2022,1,227,250,https://www.redfin.com/MN/St-Paul/4828-Avery-CT-55123/home/178646989,NORTHSTARMLS,6163340,44.78093687,-93.1136557
MLS Listing,Townhouse,4832 Avery Ct,Eagan,MN,55123,401490,3,3,Avery Pines,1854,,2022,1,217,250,https://www.redfin.com/MN/St-Paul/4832-Avery-CT-55123/home/178646988,NORTHSTARMLS,6163357,44.78093687,-93.1136557
MLS Listing,Single Family Residential,19384 Ellington Trl,Farmington,MN,55024,400000,3,3,Farmington,2140,10018,1994,1,187,,https://www.redfin.com/MN/Farmington/19384-Ellington-Trl-55024/home/50722588,NORTHSTARMLS,6162096,44.6691862,-93.1669453
MLS Listing,Single Family Residential,950 19th St W,Hastings,MN,55033,342000,4,2,Hastings,1980,9016,1976,1,173,,https://www.redfin.com/MN/Hastings/950-19th-St-W-55033/home/50726082,NORTHSTARMLS,6163670,44.726605,-92.8646854
MLS Listing,Single Family Residential,4796 Eriks Blvd,Eagan,MN,55122,415000,3,2,Eagan,2012,20037,1978,1,206,,https://www.redfin.com/MN/Eagan/4796-Eriks-Blvd-55122/home/50718054,NORTHSTARMLS,6163702,44.7866739,-93.167808
MLS Listing,Condo/Co-op,3578 Blue Jay Way #104,Eagan,MN,55123,180000,1,1,Eagan,820,,1985,1,220,211,https://www.redfin.com/MN/Eagan/3578-Blue-Jay-Way-55123/unit-104/home/50144342,NORTHSTARMLS,6164009,44.8280447,-93.1447126
MLS Listing,Townhouse,15608 Eagle Bay Dr,Apple Valley,MN,55124,330000,3,4,Apple Valley,2068,,2005,1,160,380,https://www.redfin.com/MN/Apple-Valley/15608-Eagle-Bay-Dr-55124/unit-102/home/50029866,NORTHSTARMLS,6146002,44.7242838,-93.1679263
MLS Listing,Townhouse,4128 Durham Ct #137,Eagan,MN,55122,239900,2,1,Eagan,1232,,1992,1,195,210,https://www.redfin.com/MN/St-Paul/4128-Durham-Ct-55122/unit-137/home/50708897,NORTHSTARMLS,6163830,44.8069426,-93.2024788
MLS Listing,Townhouse,20868 Glade Ave,Lakeville,MN,55044,509900,3,3,Lakeville,3087,4791,2016,1,165,185,https://www.redfin.com/MN/Lakeville/20868-Glade-Ave-55044/home/113769482,NORTHSTARMLS,6162952,44.6473443,-93.2192076
MLS Listing,Single Family Residential,19164 Colonial Trl,Farmington,MN,55024,475000,4,3,Farmington,2275,10018,2021,1,209,175,https://www.redfin.com/MN/Farmington/19164-Colonial-TRL-Unknown/home/176675688,NORTHSTARMLS,6148790,44.67249295,-93.13966668
MLS Listing,Townhouse,18112 Glassfern Ln,Lakeville,MN,55044,439900,4,4,Lakeville,2587,,2015,1,170,205,https://www.redfin.com/MN/Lakeville/18112-Glassfern-Ln-55044/home/113769398,NORTHSTARMLS,6163940,44.6869995,-93.2151815
MLS Listing,Townhouse,864 Ivy Ln,Eagan,MN,55123,380000,2,2,Eagan,1136,6969,1999,1,335,390,https://www.redfin.com/MN/Eagan/864-Ivy-Ln-55123/home/50716496,NORTHSTARMLS,6163954,44.83138,-93.1307209
MLS Listing,Single Family Residential,3280 Heritage Ln,Eagan,MN,55121,375000,3,2,Eagan,1851,31188,1956,1,203,,https://www.redfin.com/MN/Eagan/3280-Heritage-Ln-55121/home/50711805,NORTHSTARMLS,6141734,44.8383496,-93.1860075
MLS Listing,Condo/Co-op,4130 Rahn Rd Unit B205,Eagan,MN,55122,119900,2,1,Eagan,900,,1972,1,133,399,https://www.redfin.com/MN/Eagan/4130-Rahn-Rd-55122/unit-B205/home/178443131,NORTHSTARMLS,6163503,44.806893,-93.2057051
MLS Listing,Townhouse,15081 December Way,Rosemount,MN,55068,280000,3,2,Rosemount,1574,2526,1994,1,178,234,https://www.redfin.com/MN/Rosemount/15081-December-Way-55068/home/50077807,NORTHSTARMLS,6160488,44.731291,-93.151307
MLS Listing,Townhouse,7261 Brittany Ln,Inver Grove Heights,MN,55076,249900,3,2,Inver Grove Heights,1378,,1994,2,181,250,https://www.redfin.com/MN/Inver-Grove-Heights/7261-Brittany-Ln-55076/unit-46/home/50000927,NORTHSTARMLS,6163506,44.8448741,-93.0527735
MLS Listing,Single Family Residential,18382 Hamby Dr,Lakeville,MN,55044,468089,3,2,Pinnacle Reserve,1801,9147,2022,3,260,170,https://www.redfin.com/MN/Lakeville/18382-Hamby-DR-55044/home/177689895,NORTHSTARMLS,6163454,44.68242836,-93.2307826
MLS Listing,Single Family Residential,7436 Agate Trl,Inver Grove Heights,MN,55077,849900,5,4,Inver Grove Heights,3885,8712,2022,3,219,,https://www.redfin.com/MN/Inver-Grove-Heights/7436-Agate-Trl-55077/home/178621947,NORTHSTARMLS,6163459,44.8517582,-93.089612
MLS Listing,Townhouse,5046 161st St W,Lakeville,MN,55044,502600,2,3,Spirit of Brandtjen Farm,2025,1306,2022,3,248,492,https://www.redfin.com/MN/Lakeville/5046-161st-St-W-55044/home/172759752,NORTHSTARMLS,6163444,44.7154571,-93.1675777
MLS Listing,Single Family Residential,17082 Hamilton Dr,Lakeville,MN,55044,400000,4,2,Lakeville,2362,13808,1987,3,169,,https://www.redfin.com/MN/Lakeville/17082-Hamilton-Dr-55044/home/50737703,NORTHSTARMLS,6151808,44.7028154,-93.226883
MLS Listing,Townhouse,13793 Atrium Ave #2702,Rosemount,MN,55068,274900,3,3,Rosemount,1530,,2005,3,180,360,https://www.redfin.com/MN/Rosemount/13793-Atrium-Ave-55068/unit-2702/home/50675080,NORTHSTARMLS,6163362,44.7493213,-93.0964593
MLS Listing,Single Family Residential,1454 Stickney Ave,South Saint Paul,MN,55075,280000,3,2,South Saint Paul,1708,5662,1953,3,164,,https://www.redfin.com/MN/South-St-Paul/1454-Stickney-Ave-55075/home/50033545,NORTHSTARMLS,6107654,44.9143753,-93.0604567
MLS Listing,Townhouse,20042 Ideal Way,Lakeville,MN,55044,375000,3,3,Lakeville,2180,1524,1995,4,172,200,https://www.redfin.com/MN/Lakeville/20042-Ideal-Way-55044/home/50185602,NORTHSTARMLS,6163333,44.659222,-93.253754
MLS Listing,Townhouse,12901 Echo Ln,Apple Valley,MN,55124,190000,2,1,Apple Valley,1076,,1989,4,177,235,https://www.redfin.com/MN/Apple-Valley/12901-Echo-Ln-55124/home/50684754,NORTHSTARMLS,6163325,44.7628825,-93.1678868
MLS Listing,Single Family Residential,15135 December Trl Unit TRI,Rosemount,MN,55068,429900,5,3,Rosemount,2257,10410,1995,4,190,,https://www.redfin.com/MN/Rosemount/15135-December-Trl-55068/unit-TRI/home/50755443,NORTHSTARMLS,6156792,44.7299896,-93.1544569
MLS Listing,Single Family Residential,13717 Oakland Dr,Burnsville,MN,55337,375000,4,2,Burnsville,2143,19166,1974,4,175,,https://www.redfin.com/MN/Burnsville/13717-Oakland-Dr-55337/home/50692444,NORTHSTARMLS,6163310,44.7545023,-93.2662602
MLS Listing,Townhouse,5052 161st St W,Lakeville,MN,55044,529700,3,3,Spirit of Brandtjen Farm,2045,1524,2022,4,259,492,https://www.redfin.com/MN/Lakeville/5052-161st-St-W-55044/home/172759754,NORTHSTARMLS,6163294,44.7154639,-93.1676258
MLS Listing,Single Family Residential,4745 Bristol Blvd,Eagan,MN,55123,585000,5,4,Eagan,3140,30579,1993,4,186,,https://www.redfin.com/MN/Eagan/4745-Bristol-Blvd-55123/home/50718160,NORTHSTARMLS,6153122,44.784804,-93.1106653
MLS Listing,Single Family Residential,2002 Tamarack Ln,Burnsville,MN,55337,359000,4,2,Burnsville,2260,10890,1964,4,159,,https://www.redfin.com/MN/Burnsville/2002-Tamarack-Ln-55337/home/50698149,NORTHSTARMLS,6143215,44.7983199,-93.2453598
MLS Listing,Single Family Residential,18235 Euclid Ave,Farmington,MN,55024,329900,4,2,Farmington,2158,16552,1970,4,153,,https://www.redfin.com/MN/Farmington/18235-Euclid-Ave-55024/home/50096958,NORTHSTARMLS,6161220,44.6854184,-93.1789465
MLS Listing,Townhouse,7563 Dawn Ave,Inver Grove Heights,MN,55076,199900,3,2,Inver Grove Heights,1616,2221,1972,4,124,278,https://www.redfin.com/MN/Inver-Grove-Heights/7563-Dawn-Ave-E-55076/home/50732287,NORTHSTARMLS,6158333,44.8400156,-93.0249605
MLS Listing,Single Family Residential,3621 Sawgrass Trl S,Eagan,MN,55123,815000,5,5,Eagan,4350,12022,2014,4,187,86,https://www.redfin.com/MN/Eagan/3621-Sawgrass-Trl-S-55123/home/50678354,NORTHSTARMLS,6160903,44.825264,-93.1380721
MLS Listing,Single Family Residential,9605 320th St W,Northfield,MN,55057,2200000,4,5,Northfield,7500,1132560,2003,4,293,,https://www.redfin.com/MN/Northfield/9605-320th-St-W-55057/home/113770308,NORTHSTARMLS,6162542,44.492804,-93.260193
MLS Listing,Single Family Residential,10241 205th St W,Lakeville,MN,55044,1390000,3,2,Lakeville,960,49222,1920,4,1448,,https://www.redfin.com/MN/Lakeville/10241-205th-St-W-55044/home/50736726,NORTHSTARMLS,6162989,44.654697,-93.273092
MLS Listing,Multi-Family (2-4 Unit),15713 Maple Island Ct,Burnsville,MN,55306,369900,4,3,Burnsville,2540,7405,1990,4,146,,https://www.redfin.com/MN/Burnsville/15713-Maple-Island-Ct-55306/home/50696845,NORTHSTARMLS,6162990,44.71876,-93.277979
MLS Listing,Single Family Residential,22466 Cantrel Way,Farmington,MN,55024,400000,3,3,Farmington,2559,10018,2014,4,156,,https://www.redfin.com/MN/Farmington/22466-Cantrel-Way-55024/home/50673568,NORTHSTARMLS,6162936,44.6238354,-93.1331538
MLS Listing,Single Family Residential,1403 Featherstone Rd,Hastings,MN,55033,599000,3,2,Hastings,2656,174240,1955,4,226,,https://www.redfin.com/MN/Hastings/1403-Featherstone-Rd-55033/home/50724328,NORTHSTARMLS,6154910,44.745215,-92.881369
MLS Listing,Single Family Residential,12974 Findlay Way,Apple Valley,MN,55124,360000,5,2,Apple Valley,1980,11761,1973,4,182,,https://www.redfin.com/MN/Apple-Valley/12974-Findlay-Way-55124/home/50683243,NORTHSTARMLS,6162537,44.7602913,-93.1939915
MLS Listing,Single Family Residential,576 Michigan Ct,Eagan,MN,55123,459900,4,3,Eagan,2504,30056,1976,4,184,,https://www.redfin.com/MN/Eagan/576-Michigan-Ct-55123/home/50711991,NORTHSTARMLS,6158861,44.7952091,-93.1125455
MLS Listing,Townhouse,815 Evergreen Cir,Burnsville,MN,55337,239900,3,2,Burnsville,1501,5009,1982,4,160,293,https://www.redfin.com/MN/Burnsville/815-Evergreen-Cir-55337/home/50050931,NORTHSTARMLS,6159013,44.7480187,-93.2638208
MLS Listing,Condo/Co-op,3100 Riverwood Dr #102,Hastings,MN,55033,165000,2,1,Hastings,983,,1988,4,168,250,https://www.redfin.com/MN/Hastings/3100-Riverwood-Dr-55033/unit-102/home/50727159,NORTHSTARMLS,6161772,44.7170558,-92.8687383
MLS Listing,Single Family Residential,31630 Eveleth Ave,Northfield,MN,55057,599000,6,4,Northfield,4670,217800,1923,4,128,,https://www.redfin.com/MN/Northfield/31630-Eveleth-Ave-55057/home/49915970,NORTHSTARMLS,6157979,44.4913688,-93.1795545
MLS Listing,Single Family Residential,1058 Smith Ave S,West Saint Paul,MN,55118,325000,3,3,West Saint Paul,2172,8755,1937,5,150,,https://www.redfin.com/MN/West-St-Paul/1058-Smith-Ave-S-55118/home/50763023,NORTHSTARMLS,6162802,44.9145109,-93.101481
MLS Listing,Single Family Residential,19800 Canada Ave,Farmington,MN,55024,449900,4,3,Farmington,2368,16160,1999,5,190,,https://www.redfin.com/MN/Farmington/19800-Canada-Ave-55024/home/50719927,NORTHSTARMLS,6162536,44.6625385,-93.1314296
MLS Listing,Condo/Co-op,15400 Chippendale Ave W #203,Rosemount,MN,55068,223900,2,2,Rosemount,1107,,2002,5,202,324,https://www.redfin.com/MN/Rosemount/15400-Chippendale-Ave-W-55068/unit-203/home/50668506,NORTHSTARMLS,6162207,44.7251826,-93.1355443
MLS Listing,Single Family Residential,13832 Adan Ave,Rosemount,MN,55068,570000,4,4,Rosemount,2447,8668,2020,5,233,33,https://www.redfin.com/MN/Rosemount/13832-Adan-Ave-55068/home/169895006,NORTHSTARMLS,6162789,44.7504983,-93.0780091
MLS Listing,Townhouse,5356 Upper 147th St W,Apple Valley,MN,55124,245000,2,1,Apple Valley,1576,,1988,5,155,347,https://www.redfin.com/MN/Apple-Valley/5356-Upper-147th-St-W-55124/home/50689374,NORTHSTARMLS,6162766,44.735612,-93.174707
MLS Listing,Single Family Residential,1725 Congress St,South Saint Paul,MN,55075,335000,4,2,South Saint Paul,1835,7187,1965,5,183,,https://www.redfin.com/MN/South-St-Paul/1725-Congress-St-55075/home/50756013,NORTHSTARMLS,6145103,44.8995755,-93.0561136
MLS Listing,Single Family Residential,5612 162nd St W,Lakeville,MN,55044,599900,3,3,Lakeville,2648,10497,2018,5,227,,https://www.redfin.com/MN/Lakeville/5612-162nd-St-W-55044/home/113770648,NORTHSTARMLS,6162649,44.7144379,-93.1786327
MLS Listing,Single Family Residential,5940 Bryant Ln,Inver Grove Heights,MN,55076,665000,5,4,Inver Grove Heights,4021,16727,1997,5,165,2,https://www.redfin.com/MN/Inver-Grove-Heights/5940-Bryant-Ln-55076/home/50732208,NORTHSTARMLS,6162390,44.8625678,-93.0474873
MLS Listing,Townhouse,14663 Sherwood Pl,Burnsville,MN,55306,319900,3,3,Burnsville,2004,1742,1988,5,160,344,https://www.redfin.com/MN/Burnsville/14663-Sherwood-Pl-55306/home/50699081,NORTHSTARMLS,6162605,44.736242,-93.263615
MLS Listing,Single Family Residential,1221 136th St W,Rosemount,MN,55068,493515,4,3,Ardan Place,2268,13503,2022,5,218,,https://www.redfin.com/MN/Rosemount/1221-136th-St-W-55068/home/178598654,NORTHSTARMLS,6162586,44.7514758,-93.1093341
MLS Listing,Single Family Residential,14692 Denmark Ct,Apple Valley,MN,55124,385000,5,3,Apple Valley,2672,13068,1977,5,144,,https://www.redfin.com/MN/Apple-Valley/14692-Denmark-Ct-55124/home/50038031,NORTHSTARMLS,6158296,44.7375948,-93.1567505
MLS Listing,Townhouse,4870 Bivens Ct #8701,Inver Grove Heights,MN,55076,260000,3,3,Inver Grove Heights,1776,,2004,5,146,336,https://www.redfin.com/MN/Inver-Grove-Heights/4870-Bivens-Ct-55076/unit-8701/home/50109612,NORTHSTARMLS,6157796,44.8783889,-93.0544395
MLS Listing,Single Family Residential,17985 Equinox Ave,Lakeville,MN,55044,490000,3,3,Lakeville,1968,8276,2018,5,249,,https://www.redfin.com/MN/Lakeville/17985-Equinox-Ave-55044/home/113770847,NORTHSTARMLS,6154349,44.688996,-93.173475
MLS Listing,Townhouse,13252 Huntington Ter,Apple Valley,MN,55124,449000,3,3,Apple Valley,2212,3789,1998,5,203,358,https://www.redfin.com/MN/Apple-Valley/13252-Huntington-Ter-55124/home/50688043,NORTHSTARMLS,6154385,44.7565384,-93.2409609
MLS Listing,Single Family Residential,958 Humboldt Ave,West Saint Paul,MN,55118,279000,4,2,West Saint Paul,1928,6969,1900,5,145,,https://www.redfin.com/MN/West-St-Paul/958-Humboldt-Ave-55118/home/50071909,NORTHSTARMLS,6162109,44.9172587,-93.0848008
MLS Listing,Single Family Residential,19741 Henley Ln,Lakeville,MN,55044,699900,5,4,Berres Ridge 5th,3516,12980,2021,5,199,,https://www.redfin.com/MN/Lakeville/19741-Henley-Ln-55044/home/177570194,NORTHSTARMLS,6162412,44.662117,-93.2296832
MLS Listing,Single Family Residential,976 Kay Ave,Mendota Heights,MN,55118,440000,3,2,Mendota Heights,2488,16117,1958,5,177,,https://www.redfin.com/MN/Mendota-Heights/976-Kay-Ave-55118/home/50046997,NORTHSTARMLS,6154784,44.8849669,-93.1389735
MLS Listing,Single Family Residential,126 2nd Ave S,South Saint Paul,MN,55075,299900,3,2,South Saint Paul,1494,5009,1916,5,201,,https://www.redfin.com/MN/South-St-Paul/126-2nd-Ave-S-55075/home/49902584,NORTHSTARMLS,6162287,44.8897786,-93.0363203
MLS Listing,Single Family Residential,19672 Hibbing Way,Lakeville,MN,55044,760000,4,3,Lakeville,3496,12850,2017,5,217,,https://www.redfin.com/MN/Lakeville/19672-Hibbing-Way-55044/home/113769890,NORTHSTARMLS,6162327,44.6654285,-93.2331851
MLS Listing,Single Family Residential,18167 Green Gables Trl,Lakeville,MN,55044,559977,4,3,Lakeville,2744,8712,2019,6,204,64,https://www.redfin.com/MN/Lakeville/18167-Green-Gables-Trl-55044/home/113769243,NORTHSTARMLS,6162301,44.6860951,-93.226137
MLS Listing,Single Family Residential,14300 Alder Way,Rosemount,MN,55068,611576,5,4,Emerald Isle,3483,12632,2022,6,176,,https://www.redfin.com/MN/Rosemount/14300-Alder-WAY-55068/home/178605225,NORTHSTARMLS,6162298,44.743566,-93.07728685
MLS Listing,Single Family Residential,702 Greten Ln,Hastings,MN,55033,439900,5,3,Hastings,2722,10018,2002,6,162,9,https://www.redfin.com/MN/Hastings/702-Greten-Ln-55033/home/50771284,NORTHSTARMLS,6155375,44.7129291,-92.8609445
MLS Listing,Single Family Residential,14301 Alder Way,Rosemount,MN,55068,626247,5,4,Emerald Isle,3317,12632,2022,6,189,,https://www.redfin.com/MN/Rosemount/14301-Alder-WAY-55068/home/178562951,NORTHSTARMLS,6162272,44.74336787,-93.07812369
MLS Listing,Single Family Residential,14360 Aspen Ave,Rosemount,MN,55068,606572,5,4,Emerald Isle,3317,9147,2022,6,183,,https://www.redfin.com/MN/Rosemount/14360-Aspen-Ave-55068/home/178562728,NORTHSTARMLS,6157671,44.74222481,-93.07932532
MLS Listing,Single Family Residential,18048 Gleaming Ct,Lakeville,MN,55044,570000,4,3,Lakeville,2283,8712,2018,6,250,58,https://www.redfin.com/MN/Lakeville/18048-Gleaming-Ct-55044/home/113769367,NORTHSTARMLS,6162257,44.6883192,-93.2193646
MLS Listing,Townhouse,18602 Jonesboro Ct,Lakeville,MN,55044,374900,3,3,Lakeville,2009,1916,2020,6,187,245,https://www.redfin.com/MN/Lakeville/18602-Jonesboro-Ct-55044/home/50671823,NORTHSTARMLS,6160801,44.680048,-93.2785419
MLS Listing,Single Family Residential,18129 Icon Ct,Lakeville,MN,55044,724900,5,4,Lakeville,3867,9104,2018,6,187,,https://www.redfin.com/MN/Lakeville/18129-Icon-Ct-55044/home/108265822,NORTHSTARMLS,6158370,44.6869475,-93.2497592
MLS Listing,Single Family Residential,1065 Keefe St,Eagan,MN,55121,349900,4,2,Eagan,1490,10105,1957,6,235,,https://www.redfin.com/MN/Eagan/1065-Keefe-St-55121/home/50712918,NORTHSTARMLS,6157048,44.8516601,-93.1450487
MLS Listing,Single Family Residential,17989 Fullerton Ct,Lakeville,MN,55044,614900,5,4,Lakeville,3982,15681,2004,6,154,,https://www.redfin.com/MN/Lakeville/17989-Fullerton-Ct-55044/home/50177515,NORTHSTARMLS,6162041,44.688683,-93.197922
MLS Listing,Single Family Residential,825 9th Ave S,South Saint Paul,MN,55075,195000,2,1,South Saint Paul,890,5009,1945,6,219,,https://www.redfin.com/MN/South-St-Paul/825-9th-Ave-S-55075/home/50757422,NORTHSTARMLS,6162020,44.8772953,-93.0447295
MLS Listing,Single Family Residential,12138 Gantry Ln,Apple Valley,MN,55124,500000,4,4,Apple Valley,3473,20473,1990,6,144,,https://www.redfin.com/MN/Apple-Valley/12138-Gantry-Ln-55124/home/50680784,NORTHSTARMLS,6158008,44.7726588,-93.210827
MLS Listing,Single Family Residential,1793 86th Ct E,Inver Grove Heights,MN,55077,1495000,5,5,Inver Grove Heights,5358,63162,2013,6,279,,https://www.redfin.com/MN/Inver-Grove-Heights/1793-86th-Ct-E-55077/home/50671391,NORTHSTARMLS,6161199,44.825521,-93.0693006
MLS Listing,Townhouse,15880 Griffon Path,Apple Valley,MN,55124,240000,2,3,Apple Valley,1570,7274,1990,6,153,244,https://www.redfin.com/MN/Apple-Valley/15880-Griffon-Path-55124/home/50686086,NORTHSTARMLS,6161838,44.718493,-93.223635
MLS Listing,Townhouse,15510 Float Ln #140,Apple Valley,MN,55124,245000,3,1,Apple Valley,1228,,2001,6,200,215,https://www.redfin.com/MN/Apple-Valley/15510-Float-Ln-55124/unit-140/home/50768362,NORTHSTARMLS,6161892,44.7245286,-93.1989235
MLS Listing,Single Family Residential,14261 Aspen Ave,Rosemount,MN,55068,661400,5,4,Rosemount,3296,9147,2022,6,201,,https://www.redfin.com/MN/Rosemount/14261-Aspen-Ave-55068/home/178544497,NORTHSTARMLS,6161762,44.74328895,-93.0796051
MLS Listing,Single Family Residential,1361 143rd St,Rosemount,MN,55068,551900,3,3,Rosemount,2016,9147,2022,6,274,,https://www.redfin.com/MN/Rosemount/1361-143rd-St-E-55068/home/178544494,NORTHSTARMLS,6161769,44.7439329,-93.0756567
